Time,AccelerationX,AccelerationY,AccelerationZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,BlockageMask,MotionCommand
0.0,0.12,0.03,0.01,0.01,0.02,0.05,0x00000F00,0
0.1,0.14,0.04,0.00,0.01,0.02,0.06,0x00000F00,0
0.2,0.16,0.05,0.01,0.01,0.03,0.07,0x00000F00,0
0.3,0.18,0.06,0.02,0.02,0.03,0.08,0x00000F00,0
0.4,0.20,0.07,0.01,0.02,0.03,0.09,0x00000F00,0
0.5,0.22,0.08,0.00,0.02,0.03,0.10,0x00000F00,0
0.6,0.24,0.09,0.01,0.03,0.03,0.11,0x00000F00,0
0.7,0.26,0.10,0.02,0.03,0.04,0.12,0x00000F00,0
0.8,0.28,0.11,0.01,0.03,0.04,0.13,0x00000F00,0
0.9,0.30,0.12,0.00,0.03,0.04,0.14,0x00000F00,0
1.0,0.32,0.13,0.01,0.03,0.05,0.15,0x00000F00,0
1.1,0.34,0.14,0.02,0.03,0.05,0.16,0x00000F00,0
1.2,0.36,0.15,0.01,0.03,0.05,0.17,0x00000F00,0
1.3,0.38,0.16,0.00,0.03,0.05,0.18,0x00000F00,0
1.4,0.40,0.17,0.01,0.03,0.06,0.19,0x00000F00,0
1.5,0.42,0.18,0.02,0.03,0.06,0.20,0x00000F00,0
1.6,0.44,0.19,0.01,0.03,0.06,0.21,0x00000F00,0
1.7,0.46,0.20,0.00,0.03,0.06,0.22,0x00000F00,0
1.8,0.48,0.21,0.01,0.03,0.07,0.23,0x00000F00,0
1.9,0.50,0.22,0.02,0.03,0.07,0.24,0x00000F00,0
2.0,0.52,0.23,0.01,0.03,0.07,0.25,0x00000F00,0
2.1,0.54,0.24,0.00,0.03,0.07,0.26,0x00000F00,0
2.2,0.56,0.25,0.01,0.03,0.07,0.27,0x00000F00,0
2.3,0.58,0.26,0.02,0.03,0.08,0.28,0x00000F00,0
2.4,0.60,0.27,0.01,0.03,0.08,0.29,0x00000F00,0
2.5,0.62,0.28,0.00,0.03,0.08,0.30,0x00000F00,0
2.6,0.64,0.29,0.01,0.03,0.08,0.31,0x00000F00,0
2.7,0.66,0.30,0.02,0.03,0.08,0.32,0x00000F00,0
2.8,0.68,0.31,0.01,0.03,0.09,0.33,0x00000F00,0
2.9,0.70,0.32,0.00,0.03,0.09,0.34,0x00000F00,0
3.0,0.72,0.33,0.01,0.03,0.09,0.35,0x00000F00,0
3.1,0.74,0.34,0.02,0.03,0.09,0.36,0x00000F00,0
3.2,0.76,0.35,0.01,0.03,0.09,0.37,0x00000F00,0
3.3,0.78,0.36,0.00,0.03,0.10,0.38,0x00000F00,0
3.4,0.80,0.37,0.01,0.03,0.10,0.39,0x00000F00,0
3.5,0.82,0.38,0.02,0.03,0.10,0.40,0x00000F00,0
